Neighbourhood Number,Neighbourhood Name,Number of calls
168,Downtown Yonge East,445
73,Moss Park,424
78,Kensington-Chinatown,156
167,Church-Wellesley,127
170,Yonge-Bay Corridor,121
165,Harbourfront-CityPlace,114
166,St Lawrence-East Bayfront-The Islands,102
85,South Parkdale,84
163,Fort York-Liberty Village,80
162,West Queen West,71
6,Kingsview Village-The Westway,57
74,North St.James Town,50
164,Wellington Place,47
81,Trinity-Bellwoods,42
154,Oakdale-Beverley Heights,39
95,Annex,37
62,East End-Danforth,34
136,West Hill,33
79,University,32
113,Weston,32
171,Junction-Wallace Emerson,31
121,Oakridge,31
72,Regent Park,30
118,Tam O'Shanter-Sullivan,29
18,New Toronto,28
83,Dufferin Grove,27
169,Bay-Cloverhill,24
70,South Riverdale,23
158,Islington,23
107,Oakwood Village,21
160,Mimico-Queensway,20
84,Little Portugal,19
98,Rosedale-Moore Park,18
86,Roncesvalles,17
64,Woodbine Corridor,17
138,Eglinton East,16
65,Greenwood-Coxwell,16
108,Briar Hill-Belgravia,15
1,West Humber-Clairville,14
124,Kennedy Park,14
120,Clairlea-Birchmount,14
88,High Park North,14
36,Newtonbrook West,13
71,Cabbagetown-South St.James Town,13
68,North Riverdale,13
63,The Beaches,12
111,Rockcliffe-Smythe,12
67,Playter Estates-Danforth,12
106,Humewood-Cedarvale,11
142,Woburn North,11
27,York University Heights,11
66,Danforth,11
25,Glenfield-Jane Heights,11
155,Downsview,11
31,Yorkdale-Glen Park,10
24,Black Creek,10
122,Birchcliffe-Cliffside,9
101,Forest Hill South,9
23,Pelmo Park-Humberlea,9
141,Golfdale-Cedarbrae-Woburn,8
109,Caledonia-Fairbank,8
119,Wexford/Maryvale,8
87,High Park-Swansea,8
16,Stonegate-Queensway,8
90,Junction Area,8
92,Corso Italia-Davenport,8
115,Mount Dennis,8
91,Weston-Pelham Park,7
80,Palmerston-Little Italy,7
159,Etobicoke City Centre,7
174,South Eglinton-Davisville,7
53,Henry Farm,7
128,Agincourt South-Malvern West,7
11,"Eringate-Centennial-West Deane",7
125,Ionview,7
110,Keelesdale-Eglinton West,7
126,Dorset Park,7
100,Yonge-Eglinton,6
43,Victoria Village,6
4,Rexdale-Kipling,6
21,Humber Summit,6
94,Wychwood,6
89,Runnymede-Bloor West Village,5
61,Taylor-Massey,5
9,Edenbridge-Humber Valley,5
123,Cliffcrest,5
7,Willowridge-Martingrove-Richview,5
161,Humber Bay Shores,5
5,Elms-Old Rexdale,5
172,Dovercourt Village,5
30,Brookhaven-Amesbury,5
3,Thistletown-Beaumond Heights,5
156,Bendale-Glen Andrew,5
2,Mount Olive-Silverstone-Jamestown,5
