name,area_km2
Trinity-Bellwoods,1.7323175930538977
West Humber-Clairville,30.085095201429013
Mount Olive-Silverstone-Jamestown,4.59296554737655
Humber Summit,7.939090657135931
Thistletown-Beaumond Heights,3.3932246798878554
Humbermede,4.429879307717693
Rexdale-Kipling,2.4883738434200833
Elms-Old Rexdale,2.917366044052064
Pelmo Park-Humberlea,4.271968360920083
Downsview-Roding-CFB,15.08478328037442
Kingsview Village-The Westway,5.056105657361064
Weston,2.5564861411688344
Rustic,2.0861817726429135
Humber Heights-Westmount,2.7994315147001148
Brookhaven-Amesbury,3.507044102475289
Mount Dennis,2.1541962541129696
Willowridge-Martingrove-Richview,5.51208815322916
Princess-Rosethorn,5.175285144634085
Eringate-Centennial-West Deane,8.604184617161668
Edenbridge-Humber Valley,5.505588068081493
Rockcliffe-Smythe,5.0962526011862375
Markland Woods,2.924918219017877
Etobicoke West Mall,1.763876620427845
Islington-City Centre West,16.27163004671479
Alderwood,4.937360937112122
Long Branch,2.264588103877087
New Toronto,3.458675605214574
Mimico,6.931658860729249
Stonegate-Queensway,7.982944957865077
Kingsway South,2.64225737121226
Lambton Baby Point,1.7805017479639205
High Park-Swansea,5.336717900326352
Runnymede-Bloor West Village,1.588855372382638
High Park North,1.8827773700339683
Junction Area,2.639365718902288
Roncesvalles,1.5167998548786148
South Parkdale,2.3208563557259185
Dufferin Grove,1.3851630602208487
Little Portugal,1.2090922446909713
Dovercourt-Wallace Emerson-Juncti,3.7350782419027597
Niagara,3.1032738979535623
Weston-Pellam Park,1.466317380418339
Palmerston-Little Italy,1.436087392358486
University,1.3999937313810424
Kensington-Chinatown,1.5201992071677926
Waterfront Communities-The Island,7.650698460324988
Annex,2.813766658102814
Wychwood,1.6790674393330678
Corsa Italia-Davenport,1.885177814178115
Oakwood-Vaughan,2.2171719843054625
Humewood-Cedarvale,1.8615635325062285
Casa Loma,1.9361584876100826
Forest Hill South,2.4613222791335874
Yonge-St.Clair,1.159663185417447
Bay Street Corridor,1.8272227102571574
Rosedale-Moore Park,4.645372747632975
Church-Yonge Corridor,1.3655067544090762
Caledonia-Fairbanks,1.5485877083547381
North St.James Town,0.4205771754157381
Cabbagetown-South St.James Town,1.4177329099522866
Moss Park,1.4128824588114957
Regent Park,0.6480528968688768
Playter Estates-Danforth,0.892855240676082
South Riverdale,9.62276990840483
North Riverdale,1.7777891390349274
Blake-Jones,0.9461301517963518
Danforth Village - Toronto,1.126984551073201
Broadview North,1.7411620555799112
Old East York,2.3205237276566564
Danforth Village - East York,2.1856213935785864
Greenwood-Coxwell,1.6752060008245302
Woodbine Corridor,1.59113667295082
Maple Leaf,2.501946192602477
Beechborough-Greenbrook,1.8115429528364135
Keelesdale-Eglinton West,1.7026067901793074
Briar Hill-Belgravia,1.8368625267306182
Yorkdale-Glen Park,5.960684463396591
Forest Hill North,1.5940817849603564
Englemount-Lawrence,3.504329389527432
Bedford Park-Nortown,5.475855670015121
Lawrence Park South,3.2409112280190713
Yonge-Eglinton,1.6455643206503252
Mount Pleasant West,1.3509847571580125
Lawrence Park North,2.2767631114115328
Mount Pleasant East,3.094038204701674
Black Creek,3.471914647023165
Glenfield-Jane Heights,5.189497061135062
York University Heights,13.2209310317861
Bathurst Manor,4.790989122669175
Westminster-Branson,3.6478379754669006
Clanton Park,4.143204133329046
Lansing-Westgate,5.344279525231755
Willowdale West,2.9050770910143076
Newtonbrook West,4.690942850733318
Newtonbrook East,4.083400613159934
Willowdale East,5.040868860379583
Bayview Woods-Steeles,4.089126287556029
Bayview Village,5.178283691324083
St.Andrew-Windfields,7.308703397169291
Don Valley Village,4.183026058020936
Henry Farm,2.622774225198739
Pleasant View,3.032104382477448
Parkwoods-Donalda,7.433058069488896
Tam O'Shanter-Sullivan,5.446120494064496
Bridle Path-Sunnybrook-York Mills,8.913267639365182
Leaside-Bennington,4.727770086715493
Banbury-Don Mills,10.05189302383342
Thorncliffe Park,3.11610746628633
Flemingdon Park,2.4765669326533755
Victoria Village,4.754809690129016
O'Connor-Parkview,4.971684655288175
The Beaches,3.6074499482201707
East End-Danforth,2.654723275874756
Woodbine-Lumsden,1.1687017311398045
Crescent Town,1.009079054071332
Birchcliffe-Cliffside,5.983029714317305
Oakridge,1.8560631516671129
Clairlea-Birchmount,7.41421552666412
Wexford/Maryvale,10.241240167745623
Dorset Park,6.0070044445321935
Ionview,1.9408923261754896
Kennedy Park,3.587009803851137
Cliffcrest,7.106061386582277
Eglinton East,3.2271413730890823
Bendale,7.447562413717232
Scarborough Village,3.0933459406732107
Woburn,12.30489922661831
Guildwood,3.8047861278263886
Morningside,5.693533718819595
West Hill,9.644778844630196
Rouge,37.60958483733539
Centennial Scarborough,5.434549236330345
Highland Creek,5.176061815350032
Malvern,8.857293543692604
Hillcrest Village,5.353874569097835
Steeles,4.534153375169198
L'Amoreaux,7.171128778608566
Agincourt South-Malvern West,7.8506744438555485
Milliken,9.395914429369462
Agincourt North,7.40551391742154
