neighbourhood_number,neighbourhood_name,area_km2
1,Junction Area,2.761572513183162
2,Corso Italia-Davenport,1.9822018159861945
3,Lansing-Westgate,5.604613920725597
4,Bedford Park-Nortown,5.786244893817329
5,St.Andrew-Windfields,7.7001597162017665
6,Bridle Path-Sunnybrook-York Mills,9.268426427659305
7,Banbury-Don Mills,10.527503463175847
8,Victoria Village,4.986019008244814
9,Yonge-St.Clair,1.21828634040005
10,Pleasant View,3.1096790515719652
11,Forest Hill North,1.648476401538851
12,Lawrence Park North,2.4011304496907773
13,Mount Pleasant East,3.2443932853568915
14,Yonge-Eglinton,1.730953023196851
15,Trinity-Bellwoods,1.815085682753545
16,Wexford/Maryvale,10.759996997705969
17,Clairlea-Birchmount,7.757991866232464
18,Oakridge,1.9699376748799793
19,Clanton Park,4.36818503992019
20,Bathurst Manor,4.989938153122722
21,Westminster-Branson,3.844163196498138
22,Willowdale West,3.022240694010036
23,Rosedale-Moore Park,4.890226127789554
24,Don Valley Village,4.414551309647365
25,Forest Hill South,2.601257740499584
26,Flemingdon Park,2.593670670535473
27,Casa Loma,2.0167569799539935
28,Wychwood,1.7646934111645147
29,Lawrence Park South,3.400304803483277
30,Edenbridge-Humber Valley,5.783096029184857
31,Annex,2.927534771506839
32,South Eglinton-Davisville,0.99044384298622
33,Weston-Pelham Park,1.5275004303482302
34,Dufferin Grove,1.4564539391356406
35,Hillcrest Village,5.653314757034888
36,Greenwood-Coxwell,1.7574640692440842
37,Wellington Place,1.0280829981514192
38,Runnymede-Bloor West Village,1.6722723270816509
39,Mount Dennis,2.233823539090899
40,Moss Park,1.4658013910893335
41,Roncesvalles,1.5789380252520158
42,Briar Hill-Belgravia,1.9171342316105797
43,Caledonia-Fairbank,1.6202875785567954
44,Milliken,9.928604153946722
45,Centennial Scarborough,5.7301765183983004
46,Highland Creek,5.498992298720276
47,Morningside,6.0151997658782825
48,West Hill,10.087968754126859
49,Eglinton East,3.379155961946464
50,Old East York,2.4647279904794037
51,High Park-Swansea,5.622804659991756
52,Danforth East York,2.295751232080574
53,Malvern West,4.221899618068973
54,Malvern East,5.062796791554292
55,Parkwoods-O'Connor Hills,4.347339860780175
56,Fenside-Parkwoods,3.4752982982494576
57,Rexdale-Kipling,2.627712956168431
58,Etobicoke West Mall,1.8854148412741
59,Humewood-Cedarvale,1.962831443474592
60,Long Branch,2.375215582598345
61,Alderwood,5.227113520922832
62,Weston,2.6911085307852556
63,Kingsway South,2.7685707389516927
64,Junction-Wallace Emerson,2.3323903431363884
65,Stonegate-Queensway,8.340187408909175
66,Islington,6.407571147350901
67,Etobicoke City Centre,10.63876305838681
68,Mimico-Queensway,5.753799213693877
69,Humber Bay Shores,1.6566225739890836
70,Newtonbrook East,4.28039505309596
71,Newtonbrook West,4.92100844885355
72,Oakwood Village,2.3281709811490496
73,New Toronto,3.657838310743367
74,Agincourt North,7.608366818268698
75,Kensington-Chinatown,1.6103894921083424
76,Scarborough Village,3.3039832002383727
77,Guildwood,3.9897093388217764
78,Golfdale-Cedarbrae-Woburn,6.325554128046954
79,Woburn North,6.601654367994255
80,West Rouge,8.992312105982034
81,Brookhaven-Amesbury,3.67885696740451
82,Princess-Rosethorn,5.426384511882181
83,Eringate-Centennial-West Deane,9.072902404650158
84,Markland Wood,3.100658936346512
85,Humbermede,4.636111998011692
86,Pelmo Park-Humberlea,4.4847289539427955
87,Taylor-Massey,1.1148353099021242
88,Englemount-Lawrence,3.6474567225141263
89,Little Portugal,1.2764834805817302
90,South Parkdale,2.400398263329991
91,Keelesdale-Eglinton West,1.8365332968582078
92,North Riverdale,1.873848155500605
93,Thorncliffe Park,3.2788324998956027
94,Leaside-Bennington,5.0185921934526965
95,Rustic,2.1986988374313436
96,The Beaches,3.772381784455266
97,Downtown Yonge East,0.8484274205246103
98,Morningside Heights,30.32775990211177
99,Woodbine Corridor,1.673978453114926
100,Fort York-Liberty Village,2.455543287542045
101,Broadview North,1.8314855673993031
102,Glenfield-Jane Heights,5.400282037770128
103,York University Heights,13.88538725516657
104,Yonge-Doris,0.49442125949578025
105,Danforth,1.1745516098382478
106,Blake-Jones,0.9874207160340398
107,South Riverdale,11.57488740849553
108,Avondale,1.0814470709888375
109,Oakdale-Beverley Heights,7.010415379341835
110,Downsview,8.684632462603084
111,Birchcliffe-Cliffside,6.302676566814554
112,Cliffcrest,7.540053582513964
113,Dovercourt Village,1.5770297851303268
114,North Toronto,0.4216374642947801
115,Woodbine-Lumsden,1.254767554262209
116,Bendale-Glen Andrew,5.149553750683149
117,Yonge-Bay Corridor,1.173955569279632
118,Harbourfront-CityPlace,1.1946923275489065
119,St Lawrence-East Bayfront-The Islands,11.875224032012039
120,Church-Wellesley,0.5835643192203869
121,Bayview Village,5.407068827492131
122,Humber Heights-Westmount,2.9401222603355093
123,Steeles,4.7784136300339055
124,Tam O'Shanter-Sullivan,5.682054069684076
125,Kennedy Park,3.7546283910793643
126,West Humber-Clairville,31.616667591506783
127,Mount Olive-Silverstone-Jamestown,4.862430934814537
128,Thistletown-Beaumond Heights,3.5017264297443655
129,Elms-Old Rexdale,3.073903432243484
130,Kingsview Village-The Westway,5.311293016615336
131,Willowridge-Martingrove-Richview,5.788539252113023
132,Rockcliffe-Smythe,5.320411854823328
133,Dorset Park,6.3018540027168655
134,University,1.474449783833509
135,East End-Danforth,2.7682704168296026
136,L'Amoreaux West,3.6264378297964663
137,Bayview Woods-Steeles,4.284592593556873
138,Lambton Baby Point,1.8701655859162234
139,Maple Leaf,2.64968102795969
140,East Willowdale,3.682824704361386
141,Bendale South,2.6664043973307567
142,Beechborough-Greenbrook,1.9234174219803932
143,Yorkdale-Glen Park,6.332707252023109
144,O'Connor-Parkview,5.114499247332988
145,Playter Estates-Danforth,0.9311428378505805
146,Ionview,2.0474863000680057
147,High Park North,1.9751774087167935
148,Regent Park,0.6823241698074554
149,East L'Amoreaux,3.8708466681102776
150,Henry Farm,2.7183096587969486
151,Bay-Cloverhill,0.7245553022961959
152,Cabbagetown-South St.James Town,1.487686095059304
153,Humber Summit,8.3520130517584
154,Palmerston-Little Italy,1.506045824165639
155,West Queen West,0.9463763096780227
156,Black Creek,3.6205289292528873
157,Agincourt South-Malvern West,8.24996897588428
158,North St.James Town,0.44477464455715343
